"","log2FC","AveExpr","t","pValue","adjP","B","Symbol","change","-log10(pvalue)","group"
"Cxcl1",0.735417439608174,6.33843529561278,8.55233021464333,6.28087930521986e-12,2.77977262864892e-10,16.7425996694538,"Cxcl1","NOT",11.2019795520155,"NOT"
"Cxcl2",0.183240747743385,1.48373928331775,0.704408825876948,0.483942146793387,0.671835699160499,-5.90855422524195,"Cxcl2","NOT",0.315206553293904,"NOT"
"Cxcl3",-0.662479999366149,-3.57861939432718,-0.685345688642651,0.495802721981766,0.683670423368986,-5.04206094625532,"Cxcl3","NOT",0.304691093263204,"NOT"
"Pf4",-0.614354622376264,-4.20344243363256,-0.719180031189853,0.474861484468043,0.663309762973495,-5.04680547229883,"Pf4","NOT",0.323433054173165,"NOT"
"Cxcl5",-1.16825824981276,-3.68729884375713,-1.24728032339419,0.217210121733244,0.4405018042458,-4.66506108916078,"Cxcl5","NOT",0.663119941005503,"NOT"
"Ppbp",-0.954636415958887,-1.20476450350372,-1.46865328506747,0.147224607372252,0.339262645866168,-4.58044463910415,"Ppbp","NOT",0.83201959521031,"NOT"
"Cxcl9",0.817421625860988,-1.20809070643472,1.25609394317532,0.21402003984237,0.43561756320629,-4.8203671887807,"Cxcl9","NOT",0.669545559428925,"NOT"
"Cxcl10",0.783986431483288,4.7939575255438,7.39813881976664,5.64206858317347e-10,1.53607145364624e-08,12.4759605925629,"Cxcl10","NOT",9.24856163900434,"NOT"
"Cxcl11",1.10378882006256,-1.22065434174174,1.64188591003115,0.105919834770838,0.266502619375958,-4.36548149155263,"Cxcl11","NOT",0.975022705379539,"NOT"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cxcl16",0.254959513663522,4.61040065462054,2.37649158460106,0.0207331554351729,0.0753072992109956,-4.2504794062314,"Cxcl16","NOT",1.68333459642053,"NOT"
"Ccl1",-1.34212159167234,-4.38669837922438,-1.60594785422402,0.113610833773849,0.281316882341832,-4.31579633390641,"Ccl1","NOT",0.944580252922005,"NOT"
"Ccl2",-0.230137055709787,8.65844378936109,-3.05529639696298,0.00336974895521909,0.0163820072494512,-3.34303263039989,"Ccl2","NOT",2.472402452667,"NOT"
"Ccl3",-0.0905868611872005,-4.46760285041942,-0.109300799470701,0.913333839676957,0.944043160989603,-5.24555002525365,"Ccl3","NOT",0.0393704511304634,"NOT"
"Ccl4",0.814348942813033,-2.50207004057593,0.891710923956956,0.376160649313099,0.600621078500135,-4.95446661751032,"Ccl4","NOT",0.42462663855715,"NOT"
"Ccl5",0.485375864517874,2.61857659366673,2.74692738807412,0.00795943582290139,0.0339712900931491,-2.94856267843906,"Ccl5","NOT",2.09911771463472,"NOT"
"NA.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ccl7",0.107052180390025,7.17951762773197,1.32032891935491,0.191811063135641,0.403651718637865,-6.58950477128306,"Ccl7","NOT",0.717126347529282,"NOT"
"Ccl8",-0.104272340059775,4.71534647735575,-0.928678949009464,0.356829442104966,0.593787057051953,-6.55809410224942,"Ccl8","NOT",0.447539319048725,"NOT"
"Ccl9",0.242203515066029,1.33096640873031,0.855052769010508,0.395971723010893,0.602854585206202,-5.75420687904925,"Ccl9","NOT",0.402335826647241,"NOT"
"NA.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ccl11",-1.17737116937897,-4.46760285041942,-1.43934557380642,0.155323356704996,0.350733060575815,-4.49538103268236,"Ccl11","NOT",0.808763232453155,"NOT"
"Ccl12",0.00712049006043086,-1.4714482404147,0.00996098096622478,0.992085935138997,0.995768971213724,-5.42437227526207,"Ccl12","NOT",0.00345070734155773,"NOT"
"Ccl17",1.33292852831201,-3.36271008040615,1.39794782866116,0.167348678080544,0.367701187024896,-4.52374174414493,"Ccl17","NOT",0.776377713868456,"NOT"
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ccl20",0.172102547469283,-3.00605503688207,0.167311841953827,0.867695320371446,0.929455843985319,-5.19018198207304,"Ccl20","NOT",0.0616327447659401,"NOT"
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ccl22",0.646865742998572,-4.85459086623398,0.857839515895558,0.394443353881397,0.601494197771718,-4.99371645606947,"Ccl22","NOT",0.404015357126629,"NOT"
"NA.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ccl25",-0.168598140161443,4.61600953516993,-1.55996767055133,0.124101778180086,0.299844917427322,-5.7663860589653,"Ccl25","NOT",0.90622199571105,"NOT"
"NA.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ccl27a",0.731804153775271,3.395363210163,4.91635217275515,7.34754716274594e-06,7.62887720049823e-05,3.4383858242452,"Ccl27a","NOT",5.13385761757865,"NOT"
"Ccl28",0.278524196331593,0.544701969627039,0.74219376606203,0.460906768118339,0.651318495219693,-5.63521613659623,"Ccl28","NOT",0.336386914494559,"NOT"
"NA.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cx3cl1",0.524146524972846,4.88725147673328,5.12958897095397,3.37565613943824e-06,3.85525061479047e-05,3.94010941648349,"Cx3cl1","NOT",5.47164179911698,"NOT"
