,TCluster,SingleR_ref1_fine,SingleR_ref2_fine,,Cluster,Summary.of.auto.anno,third.T.cluster.ids,Confirmed?,Note
1,0,T cells (T.CD8.CTR),T cells,,0,,CD8+ Na?ve,,
2,1,T cells (T.CD4TESTCJ),T cells,,1,,CD8+ Na?ve,,
3,2,T cells (T.Tregs),T cells,,2,,CD4+ Th2,,
4,3,T cells (T.CD4TESTCJ),T cells,,3,,CD4+ Na?ve,,
5,4,Tgd (Tgd.mat.VG2+),T cells,,4,,CD4+ Th17,,
6,5,T cells (T.Tregs),T cells,,5,,CD4+ Treg,,
7,6,T cells (T.CD4TESTCJ),T cells,,6,,Unclassified T,,
8,7,T cells (T.8Mem),T cells,,7,,CD4+ Th1,,
9,8,T cells (T.CD4TESTCJ),T cells,,8,,CD4+ Na?ve,,
10,9,T cells (T.8EFF.OT1LISO),T cells,,9,,CD4+ Th22,,
11,10,T cells (T.4MEM44H62L),T cells,,10,,CD4+ Tfh,,
12,11,T cells (T.CD4TESTCJ),T cells,,11,,Unclassified T,,
13,12,T cells (T.8MEM.OT1.D45.LISOVA),T cells,,12,,CD8+ Effector,,
14,13,Monocytes (MO.6C+II-),T cells,,13,,CD4+ Th9,,
15,14,T cells (T.CD8.CTR),T cells,,14,,CD8+ Na?ve,,
16,15,T cells (T.8EFF.OT1.24HR.LISOVA),T cells,,15,,CD8+ Treg,,
17,16,B cells (B.Fo),T cells,,16,,Anergic T,,
18,17,T cells (T.8EFF.OT1.12HR.LISOVA),T cells,,17,,CD8+ Effector exhausted,,
